MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20150512,KY,100,0,0,0,0,0,5/12/2015,5/18/2015,1
20150505,KY,100,0,0,0,0,0,5/5/2015,5/11/2015,1
20150428,KY,100,0,0,0,0,0,4/28/2015,5/4/2015,1
20150512,LA,100,0,0,0,0,0,5/12/2015,5/18/2015,1
20150505,LA,100,0,0,0,0,0,5/5/2015,5/11/2015,1
20150428,LA,100,0,0,0,0,0,4/28/2015,5/4/2015,1
20150512,MA,0,100,0,0,0,0,5/12/2015,5/18/2015,1
20150505,MA,29.74,70.26,0,0,0,0,5/5/2015,5/11/2015,1
20150428,MA,99.92,0.08,0,0,0,0,4/28/2015,5/4/2015,1
20150512,MD,86.86,13.14,0,0,0,0,5/12/2015,5/18/2015,1
20150505,MD,92.75,7.25,0,0,0,0,5/5/2015,5/11/2015,1
20150428,MD,100,0,0,0,0,0,4/28/2015,5/4/2015,1
20150512,ME,0.01,99.99,0,0,0,0,5/12/2015,5/18/2015,1
20150505,ME,34.3,65.7,0,0,0,0,5/5/2015,5/11/2015,1
20150428,ME,34.3,65.7,0,0,0,0,4/28/2015,5/4/2015,1
20150512,MI,17.48,82.52,0.61,0,0,0,5/12/2015,5/18/2015,1
20150505,MI,36.37,63.63,0.61,0,0,0,5/5/2015,5/11/2015,1
20150428,MI,36.37,63.63,0.61,0,0,0,4/28/2015,5/4/2015,1
20150512,MN,4.47,95.53,91.86,34.9,0,0,5/12/2015,5/18/2015,1
20150505,MN,4.47,95.53,94.28,39.85,0,0,5/5/2015,5/11/2015,1
20150428,MN,4.47,95.53,92.45,31.88,0,0,4/28/2015,5/4/2015,1
20150512,MO,70.28,29.72,0,0,0,0,5/12/2015,5/18/2015,1
20150505,MO,65.4,34.6,0,0,0,0,5/5/2015,5/11/2015,1
20150428,MO,91.46,8.54,0,0,0,0,4/28/2015,5/4/2015,1
20150512,MS,98.92,1.08,0,0,0,0,5/12/2015,5/18/2015,1
20150505,MS,99.27,0.73,0,0,0,0,5/5/2015,5/11/2015,1
20150428,MS,100,0,0,0,0,0,4/28/2015,5/4/2015,1
20150512,MT,67.08,32.92,2.9,0,0,0,5/12/2015,5/18/2015,1
20150505,MT,72.57,27.43,2.9,0,0,0,5/5/2015,5/11/2015,1
20150428,MT,85.06,14.94,2.9,0,0,0,4/28/2015,5/4/2015,1
20150512,NC,100,0,0,0,0,0,5/12/2015,5/18/2015,1
20150505,NC,100,0,0,0,0,0,5/5/2015,5/11/2015,1
20150428,NC,100,0,0,0,0,0,4/28/2015,5/4/2015,1
20150512,ND,24.65,75.35,6.66,0,0,0,5/12/2015,5/18/2015,1
20150505,ND,18.76,81.24,27.42,2.33,0,0,5/5/2015,5/11/2015,1
20150428,ND,18.76,81.24,27.42,0,0,0,4/28/2015,5/4/2015,1
20150512,NE,61.37,38.63,19.95,0,0,0,5/12/2015,5/18/2015,1
20150505,NE,51.79,48.21,28.15,0,0,0,5/5/2015,5/11/2015,1
20150428,NE,51.79,48.21,28.15,0,0,0,4/28/2015,5/4/2015,1
20150512,NH,0,100,0,0,0,0,5/12/2015,5/18/2015,1
20150505,NH,32.77,67.23,0,0,0,0,5/5/2015,5/11/2015,1
20150428,NH,37.81,62.19,0,0,0,0,4/28/2015,5/4/2015,1
20150512,NJ,48.51,51.49,0,0,0,0,5/12/2015,5/18/2015,1
20150505,NJ,75,25,0,0,0,0,5/5/2015,5/11/2015,1
20150428,NJ,93,7,0,0,0,0,4/28/2015,5/4/2015,1
20150512,NM,26.19,73.81,55.27,14.58,0,0,5/12/2015,5/18/2015,1
20150505,NM,25.86,74.14,55.29,14.62,0,0,5/5/2015,5/11/2015,1
20150428,NM,25.21,74.79,55.64,17.97,0,0,4/28/2015,5/4/2015,1
20150512,NV,0,100,99.93,87,49.21,18.38,5/12/2015,5/18/2015,1
20150505,NV,0,100,99.93,87,49.21,18.38,5/5/2015,5/11/2015,1
20150428,NV,0,100,99.93,87,49.21,18.38,4/28/2015,5/4/2015,1
20150512,NY,26.21,73.79,0,0,0,0,5/12/2015,5/18/2015,1
20150505,NY,26.45,73.55,0,0,0,0,5/5/2015,5/11/2015,1
20150428,NY,35.09,64.91,0,0,0,0,4/28/2015,5/4/2015,1
20150512,OH,88.74,11.26,0,0,0,0,5/12/2015,5/18/2015,1
20150505,OH,95.24,4.76,0,0,0,0,5/5/2015,5/11/2015,1
20150428,OH,95.24,4.76,0,0,0,0,4/28/2015,5/4/2015,1
20150512,OK,39.66,60.34,47.39,24.52,3.72,0,5/12/2015,5/18/2015,1
20150505,OK,29.24,70.76,59.05,46.19,17.95,4.03,5/5/2015,5/11/2015,1
20150428,OK,30.08,69.92,59.29,47.51,24.34,4.13,4/28/2015,5/4/2015,1
20150512,OR,0.11,99.89,86.76,67.38,34.09,0,5/12/2015,5/18/2015,1
20150505,OR,0.11,99.89,86.76,67.38,34.09,0,5/5/2015,5/11/2015,1
20150428,OR,0.11,99.89,86.09,63.17,34.09,0,4/28/2015,5/4/2015,1
20150512,PA,56.5,43.5,0,0,0,0,5/12/2015,5/18/2015,1
20150505,PA,60.41,39.59,0,0,0,0,5/5/2015,5/11/2015,1
20150428,PA,69.7,30.3,0,0,0,0,4/28/2015,5/4/2015,1
20150512,PR,44.91,55.09,17.08,0,0,0,5/12/2015,5/18/2015,1
20150505,PR,46.66,53.34,6.8,0,0,0,5/5/2015,5/11/2015,1
20150428,PR,60.9,39.1,0,0,0,0,4/28/2015,5/4/2015,1
20150512,RI,0,100,0,0,0,0,5/12/2015,5/18/2015,1
20150505,RI,95.61,4.39,0,0,0,0,5/5/2015,5/11/2015,1
20150428,RI,100,0,0,0,0,0,4/28/2015,5/4/2015,1
20150512,SC,99.71,0.29,0,0,0,0,5/12/2015,5/18/2015,1
20150505,SC,99.71,0.29,0,0,0,0,5/5/2015,5/11/2015,1
20150428,SC,99.71,0.29,0,0,0,0,4/28/2015,5/4/2015,1
20150512,SD,18.71,81.29,41.02,1.94,0,0,5/12/2015,5/18/2015,1
20150505,SD,0.54,99.46,78.02,26.23,0,0,5/5/2015,5/11/2015,1
20150428,SD,0.54,99.46,77.1,15.98,0,0,4/28/2015,5/4/2015,1
20150512,TN,79.51,20.49,0,0,0,0,5/12/2015,5/18/2015,1
20150505,TN,100,0,0,0,0,0,5/5/2015,5/11/2015,1
20150428,TN,100,0,0,0,0,0,4/28/2015,5/4/2015,1
20150512,TX,64.42,35.58,22.75,7.69,1.93,0,5/12/2015,5/18/2015,1
20150505,TX,59.68,40.32,29.55,15.5,5.48,1.86,5/5/2015,5/11/2015,1
20150428,TX,58.89,41.11,30.71,15.83,5.57,2.02,4/28/2015,5/4/2015,1
20150512,UT,0,100,99.19,45.74,9.99,0,5/12/2015,5/18/2015,1
20150505,UT,0,100,99.19,45.74,9.99,0,5/5/2015,5/11/2015,1
20150428,UT,0,100,99.19,45.74,9.99,0,4/28/2015,5/4/2015,1
20150512,VA,100,0,0,0,0,0,5/12/2015,5/18/2015,1
20150505,VA,100,0,0,0,0,0,5/5/2015,5/11/2015,1
20150428,VA,100,0,0,0,0,0,4/28/2015,5/4/2015,1
20150512,VT,0,100,0,0,0,0,5/12/2015,5/18/2015,1
20150505,VT,17.23,82.77,0,0,0,0,5/5/2015,5/11/2015,1
20150428,VT,17.57,82.43,0,0,0,0,4/28/2015,5/4/2015,1
20150512,WA,32.49,67.51,51.82,15.49,0,0,5/12/2015,5/18/2015,1
20150505,WA,32.49,67.51,51.82,15.49,0,0,5/5/2015,5/11/2015,1
20150428,WA,32.95,67.05,48.96,15.2,0,0,4/28/2015,5/4/2015,1
20150512,WI,8.49,91.51,48.08,0,0,0,5/12/2015,5/18/2015,1
20150505,WI,8.49,91.51,48.08,0,0,0,5/5/2015,5/11/2015,1
20150428,WI,8.37,91.63,48.08,0,0,0,4/28/2015,5/4/2015,1
20150512,WV,100,0,0,0,0,0,5/12/2015,5/18/2015,1
20150505,WV,100,0,0,0,0,0,5/5/2015,5/11/2015,1
20150428,WV,100,0,0,0,0,0,4/28/2015,5/4/2015,1
20150512,WY,65.53,34.47,14.29,1.16,0,0,5/12/2015,5/18/2015,1
20150505,WY,65.99,34.01,14.31,1.19,0,0,5/5/2015,5/11/2015,1
20150428,WY,66.54,33.46,14.31,1.19,0,0,4/28/2015,5/4/2015,1
